"PERIODO","COD_CENCOSUD","COD_PROVEEDOR","DESCRIPCION_PRODUCTO","MARCA","ESTACION","TEMPORADA","ESTADO_PRODUCTO","DIVISION","DEPARTAMENTO","SUBDEPARTAMENTO","CLASE","ESTILO","CATPROVN1","CATPROVN2","CATPROVN3","CATPROVN4","CATPROVN5","COD_LOCAL","DESCRIPCION_LOCAL","FORMATO","TIPO_LOCAL","ESTADO_LOCAL","TIPO","VTA_PERIODO(u)","VTA_PERIODO_COSTO($)","VTA_PERIODO_PUBLICO($)"
2026-03-21,977515003,J491C1,PANTUFLA OUT J491/SURTI/L,JJO,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ACCESORIOS,PANTUFLAS,PANTUFLA OUT J491C1 JJO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,6004,12990
2026-03-21,422551004,266AIC3,PIJAMA 266AIC3 TO/SURTI/L,TOP,INVIER,INV26,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,PIJAMAS,PIJAMA LARGO,PIJAMA 266AIC3 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,9995,19990
2026-03-21,134973004,214P3-C2,P3 BOXER LARGO C2/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER LARGO C2 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,7995,15990
2026-03-21,397255006,208P3-C28,P3 BOXER ALG 208C/SURTI/XXL,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER ALG 208C28 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,7495,14990
2026-03-21,422549004,266AIC1,PIJAMA 266AIC1 TO/SURTI/L,TOP,INVIER,INV26,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,PIJAMAS,PIJAMA LARGO,PIJAMA 266AIC1 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,9995,15992
2026-03-21,601378002,700P3-C6,P3 BOXER SEAMLESS/SURTI/S,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER SEAMLESS 700C6-TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,6995,13990
2026-03-21,792555004,209MP3-C11,P3 BOXER MICRF 20/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER MICRF 209C11 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00022,Paris Marina Arauco,PARIS,Local,Activo,NO CLASIFICADO,1,7495,11992
2026-03-21,122192004,214P3-C3,P3 BOXER 214P3-C3/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER 214P3-C3 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00017,Paris Barros Arana,PARIS,Local,Activo,NO CLASIFICADO,1,7995,15990
2026-03-21,811873006,J208AP3C2,P3 BOXER ALG 208C/SURTI/XXL,JJO,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER ALG 208C2 JJO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00017,Paris Barros Arana,PARIS,Local,Activo,NO CLASIFICADO,2,9990,19980
2026-03-21,439710002,208PKP4-C10,P4 BOXER ALG 208P/SURTI/S,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P4 BOXER ALG 208PK-C10 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00017,Paris Barros Arana,PARIS,Local,Activo,NO CLASIFICADO,1,9995,19990
2026-03-21,946028002,610SPP5-C4,P5 CALCETIN SPRT/SURTI/TU,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,CALCETINES,CALCETIN SPORT,P5 CALCETIN SPRT 610SPC4 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00017,Paris Barros Arana,PARIS,Local,Activo,NO CLASIFICADO,1,5495,10990
2026-03-21,413595007,5013ACCP4C6,P4 BOXER COLO/SURTI/T 14,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,INTERIOR Y DORMIR INFANTI,ROPA INTERIOR,BOXER,P4 BOXER COLO 5013A-C6 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00017,Paris Barros Arana,PARIS,Local,Activo,NO CLASIFICADO,1,7902,16990
